"Quitters, Inc.","Fiction_Horror_Psychological Horror_Stephen  King_Ruth  Rendell_Agatha  Christie_Isaac  Asimov_Ray  Bradbury_Arthur Conan  Doyle_Frederick  Forsyth_Dorothy L. Sayers_Mark  Twain_Lawrence  Block_Dick  Francis_Donald E.  Westlake_Robert  Bloch_Sue  Grafton_Ross  MacDonald_John D.  MacDonald_Bill  Pronzini_G. K. Chesterton_Eric  Ambler_Linda  Barnes_Antonia  Fraser_Rex  Stout_Edward D.  Hoch_John Dickson  Carr_Reginald  Hill_Robert  Barnard_Patricia  Moyes_Simon  Brett_Michael  Gilbert_P.D.  James_Stanley  Ellin_Julian  Symons_Ellery  Queen_Erle Stanley  Gardner_Cornell  Woolrich_Ursula  Curtiss_Charlotte  Armstrong_Nedra  Tyre_Lillian  de la Torre_Aldous  Huxley_Edgar Allan  Poe_Elmore  Leonard_Ernest  Hemingway_Edith  Wharton_James Gould  Cozzens_Harlan  Ellison_Jack  London_Lord  Dunsany_Thomas  Hardy_Patricia  Highsmith_James  Ellroy_Wilkie  Collins_A. A. Milne_O.  Henry_Georges  Simenon_John  Collier_Sara  Paretsky_Evan  Hunter_Mickey  Spillane_Clark  Howard_Jack  Ritchie_E.W.  Hornung_Thomas  Burke_Jacques  Futrelle_Frederick Irving  Anderson_Melville Davisson  Post_Ring  Lardner_Ben Ray  Redman_James  Thurber_Harry  Kemelman_Stephen  Greenleaf_Robert  Barr_Vincent  Starrett_Logan  Clendening_Barry  Perowne_C.P.  Donnel, Jr._Ogden  Nash_John E.  Gardner_Charles  McCarry_William  Faulkner_Shirley  Jackson_John  Steinbeck_Pearl S.  Buck_Willa  Cather_Dashiell  Hammett_Raymond  Chandler_James M.  Cain_Henry  Slesar_Joyce Carol  Oates_Joe  Gores_Flannery  O'Connor_Dennis  Lehane_James  Crumley_Margaret  Millar_Brendan  DuBois_Robert L.  Fish_Michael  Malone_Damon  Runyon_Susan  Glaspell_Tom  Franklin_Wilbur Daniel  Steele_Jerome  Weidman_Sharyn  McCrumb_Ed  Gorman_Max Allan  Collins_Jeffery  Deaver_Marcia  Muller_John  Lutz_Jeremiah  Healy_Fredric  Brown_Anthony  Boucher_Tony  Hillerman_Lisa  Scottoline_Ed  McBain_Anna Katharine  Green_Janwillem  van de Wetering_Steve  Martini","Quitters_ Inc. will do anything to help you stop smoking.
Originally published in the collection Night Shift_ 1978."
The Last Rung on the Ladder,Fiction_Horror_Psychological Horror_Stephen  King,"Years ago_ Larry saved his sister's life. Now she is going to do something terrible.
First published in the collection Night Shift_ NY: Doubleday_ February 1978."
The Woman in the Room,Fiction_Horror_Medical Horror & Evil Science_Stephen  King_Clive  Barker_Dean R.  Koontz_L. Sprague  de Camp_Jack  Vance_Brian  Lumley_David  Morrell_Algis  Budrys_Avram  Davidson_Joyce Carol  Oates_James  Herbert_Jack  Williamson_Hugh B.  Cave_R.  Chetwynd-Hayes_Nigel  Kneale,"A woman who cannot die suffers from cancer. Only her son can bring relief.
Originally published in the collection Night Shift_ 1978."
Future Crimes,Fiction_Crime and Mystery_Barbara  Paul_Gary A.  Braunbeck,"Have you ever been robbed_ directly or by some high-tech snafu or manipulation?  Are you positive you could plan the perfect crime (even though you'd never carry it out)?  Or do you think that given all the clues you could solve any crime_ outsmart any criminal?  Well_ here's your chance to match your wits with the pros who took up the challenge of creating and solving crimes that have not yet occurred.  They run the gamut from low-tech to high_ from activities against entire societies to one-on-one_ completely personal crimes.  Let sixteen master sleuths take you along on their crime beats future style with such cases as:
* He could tell the suitcase was valuable the minute he saw the foreigners fighting over it_ but could a hill country native outsmart men equipped with the latest ways to deal death?
* The play's the thing...and even holographic actors should be able to help him convict the people he was certain had caused his father's death...
* When his computer system began to malfunction_ what choice did he have but to let the building repairman in- but was he letting in a rescuer or a destroyer?

An anthology of 16 all-new stories edited by Martin H. Greenberg and John Helfers for DAW Books_ 1999. Contents_ in alphabetical order of contributors:

Pia and the King of Siam by Janet Berliner
Glory Hand in the Soft City by Jay Bonansinga
All the Unlived Moments by Gary Braunbeck
The White City by Alan Brennert
Setting Free the Daughters of Earth by Peter Crowther
The Death of Winston Foster by R. Davis
Pein Bek Longpela Telimpon by Alan Dean Foster
Good Repair by Craig Shaw Gardner
Tinker's Last Case by Ron Goulart
The Crime of Transfiguration by Will Murray
The Mojave Two-Step by Norman Partridge
Shakespeare Minus One by Barbara Paul
The Serpent Was More Subtle by Tom Piccirilli
The Kidnapping of Roni Tahr by Alan Rodgers
In Memoriam by Mike Stotter
Sleep That Burns by Jerry Sykes"
The Sign of Four,Fiction_Crime and Mystery_Detective Story and Detectives_Arthur Conan  Doyle,The Sign of the Four_ the second Holmes novel_ presents the detective with one of his greatest challenges. The theft of the Agra treasure in India forms a catalyst for treachery_ deceit and murder.
A Scandal in Bohemia,Fiction_Crime and Mystery_Detective Story and Detectives_Arthur Conan  Doyle_Edgar Allan  Poe_Agatha  Christie_William  Faulkner_Dorothy L. Sayers_Dashiell  Hammett_Ross  MacDonald_Flannery  O'Connor_Jorge Luis  Borges_G. K. Chesterton_Ed  McBain_Ellery  Queen_Susan  Glaspell_Jacques  Futrelle_Cornell  Woolrich_Jack  London_O.  Henry_R. Austin  Freeman_E.W.  Hornung_Anna Katharine  Green_Melville Davisson  Post_Robert  Barr_Maurice  Leblanc_Edgar  Wallace_Arthur B.  Reeve_Ellis Parker  Butler_Richard Harding  Davis_Ernest  Bramah_Arthur  Morrison_Arnold  Bennett_Israel  Zangwill_Fergus  Hume_Victor L. Whitechurch_Lewis  Carroll_Charles Lutwidge  Dodgson_Rudyard  Kipling_Charles  Dickens_Mary  Shelley_H. G. Wells_Oscar  Wilde_Algernon Charles  Swinburne_Thomas  Hardy_Wilkie  Collins_Joseph Sheridan  Le Fanu_Robert Louis Stevenson_Thomas  De Quincey_Anthony  Trollope_Mary Elizabeth  Braddon_Elizabeth  Gaskell_Mary  de Morgan_Frances  Browne_Evelyn  Sharp_Amelia B.  Edwards_William  Carleton_Geraldine  Jewsbury_Mary  Beaumont_George  Egerton_Ada  Leverson,""
The Red-headed League,"Fiction_Crime and Mystery_Detective Story and Detectives_Arthur Conan  Doyle_Aldous  Huxley_Ruth  Rendell_Edgar Allan  Poe_Elmore  Leonard_Stephen  King_Isaac  Asimov_Ernest  Hemingway_Edith  Wharton_James Gould  Cozzens_Harlan  Ellison_Jack  London_Lawrence  Block_Lord  Dunsany_Thomas  Hardy_Patricia  Highsmith_James  Ellroy_Wilkie  Collins_Robert  Bloch_A. A. Milne_O.  Henry_Georges  Simenon_John  Collier_G. K. Chesterton_Sara  Paretsky_Evan  Hunter_Mickey  Spillane_Edward D.  Hoch_Stanley  Ellin_Clark  Howard_Jack  Ritchie_Ellery  Queen_E.W.  Hornung_Thomas  Burke_Jacques  Futrelle_Frederick Irving  Anderson_Melville Davisson  Post_Ring  Lardner_Ben Ray  Redman_James  Thurber_Harry  Kemelman_Stephen  Greenleaf_Robert  Barr_Vincent  Starrett_Logan  Clendening_Barry  Perowne_C.P.  Donnel, Jr._Ogden  Nash_John E.  Gardner_Charles  McCarry",After answering a newspaper advert for a person with red hair to undertake some work for the red-headed league_ the gentleman in question become uneasy as to what is going on and he turns to the great Sherlock Holmes for an explanation.
The Final Problem,Fiction_Crime and Mystery_Detective Story and Detectives_Arthur Conan  Doyle,""
The Cask of Amontillado,Fiction_Crime and Mystery_Crime/Caper_Horror_General_John  Jakes_Edgar Allan  Poe_Lewis  Carroll_Rudyard  Kipling_Ambrose  Bierce_Ray  Bradbury_Nathaniel  Hawthorne_Franz  Kafka_James  Joyce_Mary  Shelley_Leo  Tolstoy_Edith  Wharton_Oscar  Wilde_William Butler  Yeats_  Voltaire_Lord  Dunsany_Arthur  Machen_Olaf  Stapledon_J. G. Ballard_Julio  Cortázar_Jorge Luis  Borges_G. K. Chesterton_Thomas  Carlyle_Guy de  Maupassant_Francois  Rabelais_Evelyn  Waugh_Petronius  Arbiter_  Saki_B.  Traven_W. W. Jacobs_Barry  Perowne_Thomas Bailey Aldrich_Edward Lucas  White_Ryunosuke  Akutagawa_Walter  de la Mare_Max  Beerbohm_I. A. Ireland_May  Sinclair_Jean  Cocteau_Juan  Manuel_Silvina  Ocampo_Léon  Bloy_Giovanni  Papini_Adolfo  Bioy Casares_Leonid  Andreyev_John  Aubrey_Tor Åge  Bringsvaerd_Delia  Ingenieros_Ah'med Ech  Chiruani_Martin  Buber_Arturo  Cancela_Pilar  de Lusarreta_Chuang  Tzu_Santiago  Dabove_Alexandra  David-Neel_Macedonio  Fernández_James George  Frazer_Elena  Garro_Herbert A.  Giles_Leopoldo  Lugones_Edwin  Morgan_H. A.  Murena_  Niu Chiao_Carlos  Peralta_Manuel  Peyrou_  P'u Sung Ling_W. W.  Skeat_Emanuel  Swedenborg_Juan Rudolfo  Wilcock_Richard  Wilhelm_G.  Willoughby-Meade_  Ts'ao Hsueh-Ch'in_Auguste Comte de Villiers de l'Isle-Adam_  Wu Ch'Eng En_José  Zorrilla_H. P. Lovecraft_Roald  Dahl_August  Derleth_Robert  Bloch_Cyril M.  Kornbluth_Robert  Silverberg_Theodore  Sturgeon_Evan  Hunter_Edmond  Hamilton_Frank  Gruber_Arthur Conan  Doyle_John  Steinbeck_Mark  Twain_Luigi  Pirandello_Jack  London_Max  Brand_Wilbur Daniel  Steele_James  Thurber_Frank R.  Stockton_Kaatje  Hurlbut_Walter Van Tilburg  Clark_C. D. B. Bryan_Carl  Stephenson_Charles  Dickens_Walter  Scott_Wilkie  Collins_Joseph Sheridan  Le Fanu_F. Marion  Crawford_Elizabeth  Gaskell_Edward  Bulwer-Lytton_Perceval  Landon_Margaret  Oliphant_Raymond  Chandler_Leigh  Brackett_Margaret  Millar_Edward D.  Hoch_Tony  Hillerman_Susan  Glaspell_William Campbell  Gault_Cornell  Woolrich_David  Ely_Ellis Parker  Butler_Carter  Dickson,"In this tale of revenge set in the catacombs of Italy_ a man leads his intended victim through his family wine cellars with the promise of a taste of the rare Amontillado.
Originally published in Godey's Lady's Book_ November 1846.Reprinted in:
Book of the Dead (1986)
The Fall of the House of Usher_ Target 1986 
The Book of Fantasy
The Gold-Bug and Other Tales_ Dover 1991 
Horrorscape_ ed. Gary Goshgarian_ Dubuque_ IA: Kendall/Hunt Publishing Co. 1993 
Ghostly Tales and Eerie Poems of Edgar Allan Poe_ Putnam/Grosset & Dunlap 1993 
Selected Tales_ Penguin/Godfrey Cave 1994 
Horror Stories_ ed. Susan Price_ Kingfisher 1995 
Favourite Scary Stories from Graveside Al_ ed. Alan Maitland_ Viking Penguin Canada 1996 
Murders in the Rue Morgue & Other Stories_ Pulp Fictions UK 1998 
Selected Tales_ Oxford University Press 1998 
The Fall of the House of Usher and Other Tales_ Penguin/Signet Classic 1998"
The Fall of the House of Usher,Fiction_Horror_Psychological Horror_General Fiction_Literary Fiction/classics_Edgar Allan  Poe_Rudyard  Kipling_Nathaniel  Hawthorne_Björnstjerne  Björnson_Robert Louis Stevenson_Guy de  Maupassant_Frank R.  Stockton_Bram  Stoker_Charles  Dickens_Agatha  Christie_Ambrose  Bierce_Daniel  Defoe_Arthur Conan  Doyle_Henry  James_Dorothy L. Sayers_Walter  Scott_H. G. Wells_Wilkie  Collins_O.  Henry_Ernest  Bramah_Freeman Wills  Crofts_Joseph Smith (J.S.)  Fletcher_Walter  de la Mare_Max  Beerbohm_G.D.H.  Cole_Margaret I.  Cole_Stacy  Aumonier_Morley  Roberts_Charles  Lamb_M. R. James_Stephen  King_H. P. Lovecraft_Ray  Bradbury_Philip K.  Dick_William  Faulkner_Shirley  Jackson_Edith  Nesbit_Edith  Wharton_Harlan  Ellison_Clive  Barker_Tanith  Lee_Thomas M.  Disch_Algernon  Blackwood_Ramsey  Campbell_Robert W.  Chambers_Charles L. Grant_Fritz  Leiber_Robert  Bloch_Joseph Sheridan  Le Fanu_Richard  Matheson_Theodore  Sturgeon_Joyce Carol  Oates_Gene  Wolfe_Flannery  O'Connor_Michael  Bishop_Manly Wade  Wellman_Joanna  Russ_Karl Edward  Wagner_John  Collier_Ivan  Turgenev_Michael  Shea_Charlotte Perkins  Gilman_Dennis  Etchison_Lucy Lane  Clifford_Fitz-James  O'Brien_Robert  Aickman_Russell  Kirk_Oliver  Onions_Robert  Hichens_Ellen  Glasgow_Eudora  Welty_Thomas  Hardy_Patrick  McGrath_Clark Ashton  Smith_Jorge Luis  Borges_Isak  Dinesen_Isabel  Allende_Ray  Russell_Angela  Carter_Bret  Harte_George Washington  Cable_Alejandra  Pizarnik_Frederick  Cowles_F.M. (Flora MacDonald)  Mayor_Marcel  Schwob_J.  Wadham_Petrus  Borel_Isaac  Crookenden_Richard  Cumberland_Anna Laetitia Aiken_Lewis  Carroll_Emily  Dickinson_George Gordon  Byron_E. M. Forster_John  Keats_Mary  Shelley_Alfred  Tennyson_Mark  Twain_Oscar  Wilde_Virginia  Woolf_William Butler  Yeats_Lord  Dunsany_Kenneth  Grahame_Washington  Irving_A.E.  Housman_Samuel Taylor  Coleridge_W. W. Jacobs_James  Hogg_George  MacDonald_Laurence  Housman_Christina  Rossetti_Juliana Horatia  Ewing_Kenneth  Morris_Margaret  Oliphant_William  Austin_Edward  Lear_Richard  Middleton_I. A. Ireland,"A visitor to a gloomy mansion finds a childhood friend dying under the spell of a family curse.
First published in Burton's Gentleman's Magazine_ September 1839.Slightly revised for the collection Tales of the Grotesque and Arabesque_ 1840.Reprinted in additional magazines and journals: Bentleys Miscellany_ August 1840;Boston Notion_ 5 September 1840;Oquawka Spectator_ Part I: 23 August 1848_ Part II: 30 August 1848."
