fiction,fantasy,0.14069660861594868
fiction,historical,0.09165902841429881
fiction,horror,0.04078826764436297
fiction,children & young adult,0.25710357470210815
fiction,mystery,0.04674610449129239
fiction,crime,0.22181484876260313
fiction,detective,0.12511457378551788
fiction,science,0.14527956003666362
fiction,political,0.005957836846929423
fiction,general,0.15902841429880843
fiction,mistery,0.193858845096242
fiction,suspense,0.08295142071494042
fiction,religious,0.024289642529789185
fiction,paranormal powers,0.008249312557286892
fiction,"wizards, sorcerers, enchantresses etc",0.00045829514207149406
fiction,sword and sorcery,0.010999083409715857
fiction,future,0.025664527956003668
fiction,adventure,0.054995417048579284
fiction,militaristic,0.006416131989000917
fiction,humor,0.03391384051329056
fiction,other,0.0032080659945004585
fiction,contemporary,0.06461961503208066
fiction,american civil war,0.0036663611365719525
fiction,regional interest,0.011915673693858845
fiction,family & relationships,0.014207149404216315
fiction,sports,0.00229147571035747
fiction,suspense/thriller,0.00229147571035747
fiction,pioneers/westward movement,0.0009165902841429881
fiction,school,0.005957836846929423
fiction,social issues,0.006416131989000917
fiction,sexuality,0.0018331805682859762
fiction,multicultural,0.0018331805682859762
fiction,ties that bind,0.008707607699358386
fiction,multigenerational sagas,0.002749770852428964
fiction,pioneering & westward movement,0.00045829514207149406
fiction,women's fiction,0.012832263978001834
fiction,magical,0.001374885426214482
fiction,performing arts,0.001374885426214482
fiction,humorous,0.021081576535288724
fiction,romance,0.13290559120073328
fiction,picture books,0.07011915673693858
fiction,"saga, myth, and legend",0.011915673693858845
fiction,planets & societies,0.008707607699358386
fiction,epics,0.00045829514207149406
fiction,literary fiction/classics,0.02383134738771769
fiction,alternate and parallel worlds,0.008707607699358386
fiction,ancient world,0.0018331805682859762
fiction,"midlife crises, journeys of discovery",0.00229147571035747
fiction,political intrigue and terrorism,0.0036663611365719525
fiction,police procedural,0.01833180568285976
fiction,coming of age,0.002749770852428964
fiction,nancy  etchemendy,0.00045829514207149406
fiction,spy/espionage,0.009624197983501375
fiction,amateur,0.006416131989000917
fiction,world war ii,0.0036663611365719525
fiction,medieval,0.005499541704857928
fiction,telepathy,0.00458295142071494
fiction,time travel,0.008249312557286892
fiction,good and evil,0.001374885426214482
fiction,scienc,0.00045829514207149406
fiction,survival,0.00229147571035747
fiction,disaster,0.0009165902841429881
fiction,taking a stand,0.0009165902841429881
fiction,planetary exploration and colonization,0.005499541704857928
fiction,outer space,0.002749770852428964
fiction,fairy tales,0.005499541704857928
fiction,fairy tales & folklore,0.0068744271310724105
fiction,reinterpretations,0.005499541704857928
fiction,regency,0.010540788267644362
fiction,adult/mature content,0.0018331805682859762
fiction,original creations,0.00229147571035747
fiction,secondary worlds,0.00458295142071494
fiction,wild frontiers and exotic lands,0.0018331805682859762
fiction,satire,0.005499541704857928
fiction,black,0.008707607699358386
fiction,civil war and slavery,0.0009165902841429881
fiction,"overpopulation, plagues",0.001374885426214482
fiction,troubled lives,0.008249312557286892
fiction,social criticism,0.00045829514207149406
fiction,religion,0.001374885426214482
fiction,god,0.00045829514207149406
fiction,aliens,0.017415215398716773
fiction,alien invasion & post-occupation,0.004124656278643446
fiction,jack l  chalker,0.00045829514207149406
fiction,world versions,0.011457378551787351
fiction,poetry,0.0018331805682859762
fiction,prose poems,0.0009165902841429881
fiction,literary fantasy,0.00458295142071494
fiction,magical realism,0.0018331805682859762
fiction,transgender/transvestite,0.00045829514207149406
fiction,biothrillers,0.0009165902841429881
fiction,legal thriller,0.0032080659945004585
fiction,allegory,0.00045829514207149406
fiction,species evolution,0.008707607699358386
fiction,leigh  brackett,0.0018331805682859762
fiction,space opera,0.005957836846929423
fiction,soldiers of fortune,0.00045829514207149406
fiction,creatures,0.00229147571035747
fiction,dragons,0.00045829514207149406
fiction,lost worlds and colonies,0.0018331805682859762
fiction,western,0.029789184234647114
fiction,bad men and good,0.007791017415215398
fiction,gunfighters,0.005041246562786435
fiction,shared worlds,0.012832263978001834
fiction,"animals run rampant, werewolves",0.0036663611365719525
fiction,"humorous, parody and comedy",0.0032080659945004585
fiction,technology,0.005041246562786435
fiction,space travel & exploration,0.00229147571035747
fiction,technothrillers,0.0018331805682859762
fiction,celebrity characters,0.0018331805682859762
fiction,cattle drives,0.0018331805682859762
fiction,land rush,0.00229147571035747
fiction,singular woman,0.0018331805682859762
fiction,"wizards, sorcerers, enchantresses",0.00045829514207149406
fiction,multiverse,0.0018331805682859762
fiction,interspecies federation,0.00229147571035747
fiction,sagas,0.002749770852428964
fiction,psionic powers,0.004124656278643446
fiction,nonfiction,0.008707607699358386
fiction,world of faerie,0.004124656278643446
fiction,"computers, automation, artificial intelligence",0.0018331805682859762
fiction,interspecies relations,0.0032080659945004585
fiction,first contact,0.002749770852428964
fiction,monsters,0.00229147571035747
fiction,medical horror & evil science,0.0018331805682859762
fiction,sex & gender roles,0.0018331805682859762
fiction,horses,0.03299725022914757
fiction,racing,0.016498625114573784
fiction,raising and owning,0.0036663611365719525
fiction,courtroom drama,0.001374885426214482
fiction,visionary & inspirational,0.0009165902841429881
fiction,allegorical and bangsian,0.0018331805682859762
fiction,frontier and western romance,0.0036663611365719525
fiction,elizabethan,0.00045829514207149406
fiction,psychological horror,0.005957836846929423
fiction,eccentric people,0.0032080659945004585
fiction,rich & famous,0.0009165902841429881
fiction,male-action/adventure,0.002749770852428964
fiction,gothic,0.0009165902841429881
fiction,paranormal beings,0.004124656278643446
fiction,ethnic and multicultural,0.0018331805682859762
fiction,native american,0.001374885426214482
fiction,tragedy and loss,0.0032080659945004585
fiction,military and naval adventure,0.00229147571035747
